t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
1.656,0,0,0,0,0,0,0,0,0,0,0,0,0,-9020,9087
1.664,0,0,0,0,0,0,0,0,0,0,0,0,0,-9082,9149
1.672,0,0,0,0,0,0,0,0,0,0,0,0,0,-9144,9211
1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,-9205,9273
1.688,0,0,0,0,0,0,0,0,0,0,0,0,0,-9266,9335
1.696,0,0,0,0,0,0,0,0,0,0,0,0,0,-9328,9397
1.704,0,0,0,0,0,0,0,0,0,0,0,0,0,-9389,9458
1.712,0,0,0,0,0,0,0,0,0,0,0,0,0,-9450,9520
1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,-9511,9581
1.728,0,0,0,0,0,0,0,0,0,0,0,0,0,-9572,9643
1.736,0,0,0,0,0,0,0,0,0,0,0,0,0,-9633,9704
1.744,0,0,0,0,0,0,0,0,0,0,0,0,0,-9694,9765
1.752,0,0,0,0,0,0,0,0,0,0,0,0,0,-9754,9826
1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,-9815,9887
1.768,0,0,0,0,0,0,0,0,0,0,0,0,0,-9875,9948
1.776,0,0,0,0,0,0,0,0,0,0,0,0,0,-9935,10009
1.784,0,0,0,0,0,0,0,0,0,0,0,0,0,-9995,10069
1.792,0,0,0,0,0,0,0,0,0,0,0,0,0,-10055,10130
1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,-10115,10190
1.808,0,0,0,0,0,0,0,0,0,0,0,0,0,-10175,10250
1.816,0,0,0,0,0,0,0,0,0,0,0,0,0,-10235,10310
1.824,0,0,0,0,0,0,0,0,0,0,0,0,0,-10294,10370
1.832,0,0,0,0,0,0,0,0,0,0,0,0,0,-10353,10430
1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,-10413,10490
1.848,0,0,0,0,0,0,0,0,0,0,0,0,0,-10472,10549
1.856,0,0,0,0,0,0,0,0,0,0,0,0,0,-10530,10608
1.864,0,0,0,0,0,0,0,0,0,0,0,0,0,-10589,10667
1.872,0,0,0,0,0,0,0,0,0,0,0,0,0,-10648,10726
1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,-10706,10785
1.888,0,0,0,0,0,0,0,0,0,0,0,0,0,-10764,10844
1.896,0,0,0,0,0,0,0,0,0,0,0,0,0,-10822,10902
1.904,0,0,0,0,0,0,0,0,0,0,0,0,0,-10880,10961
1.912,0,0,0,0,0,0,0,0,0,0,0,0,0,-10938,11019
1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,-10995,11077
1.928,0,0,0,0,0,0,0,0,0,0,0,0,0,-11052,11134
1.936,0,0,0,0,0,0,0,0,0,0,0,0,0,-11110,11192
1.944,0,0,0,0,0,0,0,0,0,0,0,0,0,-11166,11249
1.952,0,0,0,0,0,0,0,0,0,0,0,0,0,-11223,11306
1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,-11280,11363
1.968,0,0,0,0,0,0,0,0,0,0,0,0,0,-11336,11420
1.976,0,0,0,0,0,0,0,0,0,0,0,0,0,-11392,11476
1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,-11448,11533
1.992,0,0,0,0,0,0,0,0,0,0,0,0,0,-11503,11589
2,0,0,0,0,0,0,0,0,0,0,0,0,0,-11559,11644
2.008,0,0,0,0,0,0,0,0,0,0,0,0,0,-11614,11700
2.016,0,0,0,0,0,0,0,0,0,0,0,0,0,-11669,11755
2.024,0,0,0,0,0,0,0,0,0,0,0,0,0,-11724,11810
2.032,0,0,0,0,0,0,0,0,0,0,0,0,0,-11778,11865
2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,-11832,11920
2.048,0,0,0,0,0,0,0,0,0,0,0,0,0,-11886,11974
2.056,0,0,0,0,0,0,0,0,0,0,0,0,0,-11940,12029
2.064,0,0,0,0,0,0,0,0,0,0,0,0,0,-11994,12083
2.072,0,0,0,0,0,0,0,0,0,0,0,0,0,-12047,12136
2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,-12100,12190
2.088,0,0,0,0,0,0,0,0,0,0,0,0,0,-12153,12243
2.096,0,0,0,0,0,0,0,0,0,0,0,0,0,-12205,12296
2.104,0,0,0,0,0,0,0,0,0,0,0,0,0,-12257,12348
2.112,0,0,0,0,0,0,0,0,0,0,0,0,0,-12309,12401
2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,-12361,12453
2.128,0,0,0,0,0,0,0,0,0,0,0,0,0,-12412,12504
2.136,0,0,0,0,0,0,0,0,0,0,0,0,0,-12464,12556
2.144,0,0,0,0,0,0,0,0,0,0,0,0,0,-12514,12607
2.152,0,0,0,0,0,0,0,0,0,0,0,0,0,-12565,12658
2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,-12615,12709
2.168,0,0,0,0,0,0,0,0,0,0,0,0,0,-12665,12759
2.176,0,0,0,0,0,0,0,0,0,0,0,0,0,-12715,12809
2.184,0,0,0,0,0,0,0,0,0,0,0,0,0,-12764,12859
2.192,0,0,0,0,0,0,0,0,0,0,0,0,0,-12813,12908
2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-12862,12957
2.208,0,0,0,0,0,0,0,0,0,0,0,0,0,-12910,13006
2.216,0,0,0,0,0,0,0,0,0,0,0,0,0,-12958,13054
2.224,0,0,0,0,0,0,0,0,0,0,0,0,0,-13006,13103
2.232,0,0,0,0,0,0,0,0,0,0,0,0,0,-13054,13150
2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,-13101,13198
2.248,0,0,0,0,0,0,0,0,0,0,0,0,0,-13147,13245
2.256,0,0,0,0,0,0,0,0,0,0,0,0,0,-13194,13292
2.264,0,0,0,0,0,0,0,0,0,0,0,0,0,-13240,13338
2.272,0,0,0,0,0,0,0,0,0,0,0,0,0,-13286,13384
2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,-13331,13430
2.288,0,0,0,0,0,0,0,0,0,0,0,0,0,-13376,13475
2.296,0,0,0,0,0,0,0,0,0,0,0,0,0,-13421,13521
2.304,0,0,0,0,0,0,0,0,0,0,0,0,0,-13465,13565
2.312,0,0,0,0,0,0,0,0,0,0,0,0,0,-13509,13610
2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,-13553,13654
2.328,0,0,0,0,0,0,0,0,0,0,0,0,0,-13596,13697
2.336,0,0,0,0,0,0,0,0,0,0,0,0,0,-13639,13740
2.344,0,0,0,0,0,0,0,0,0,0,0,0,0,-13682,13783
2.352,0,0,0,0,0,0,0,0,0,0,0,0,0,-13724,13826
2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,-13766,13868
2.368,0,0,0,0,0,0,0,0,0,0,0,0,0,-13807,13909
2.376,0,0,0,0,0,0,0,0,0,0,0,0,0,-13848,13951
2.384,0,0,0,0,0,0,0,0,0,0,0,0,0,-13889,13992
2.392,0,0,0,0,0,0,0,0,0,0,0,0,0,-13929,14032
2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,-13969,14072
2.408,0,0,0,0,0,0,0,0,0,0,0,0,0,-14008,14112
2.416,0,0,0,0,0,0,0,0,0,0,0,0,0,-14047,14151
2.424,0,0,0,0,0,0,0,0,0,0,0,0,0,-14086,14190
2.432,0,0,0,0,0,0,0,0,0,0,0,0,0,-14124,14229
2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,-14161,14267
2.448,0,0,0,0,0,0,0,0,0,0,0,0,0,-14199,14304
2.456,0,0,0,0,0,0,0,0,0,0,0,0,0,-14236,14341
2.464,0,0,0,0,0,0,0,0,0,0,0,0,0,-14272,14378
2.472,0,0,0,0,0,0,0,0,0,0,0,0,0,-14308,14414
2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,-14344,14450
2.488,0,0,0,0,0,0,0,0,0,0,0,0,0,-14379,14486
2.496,0,0,0,0,0,0,0,0,0,0,0,0,0,-14414,14521
2.504,0,0,0,0,0,0,0,0,0,0,0,0,0,-14448,14555
2.512,0,0,0,0,0,0,0,0,0,0,0,0,0,-14482,14589
2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,-14515,14623
2.528,0,0,0,0,0,0,0,0,0,0,0,0,0,-14548,14656
